grievance_text,category,priority
The bus route needs more frequent services for commuters. The issue has been reported by local residents.,PUBLIC_TRANSPORT,HIGH
Residents are receiving poor quality tap water. The issue has been reported by local residents.,WATER,MEDIUM
The government building needs accessibility features for people with disabilities. Residents have requested prompt action.,DISABILITY_ACCESS,HIGH
Families are waiting for affordable public housing assistance. Please arrange the necessary civic action.,HOUSING,CRITICAL
Students are requesting repairs to school classrooms and educational facilities. Please arrange the necessary civic action.,EDUCATION,LOW
Traffic flow is heavily congested during office hours. Please arrange the necessary civic action.,TRAFFIC,HIGH
The pavement on our street has broken sections that need repair. The issue has been reported by local residents.,ROAD,HIGH
Several lamp posts on the street have stopped functioning. Residents have requested prompt action.,STREETLIGHT,LOW
Teachers and students need better facilities for classroom learning.,EDUCATION,MEDIUM
The toilet facility in the market area is poorly maintained. The issue has been reported by local residents.,PUBLIC_TOILETS,MEDIUM
Students are facing problems because school facilities are damaged. People in the locality are requesting a solution.,EDUCATION,MEDIUM
Families are not receiving their scheduled water supply. Residents have requested prompt action.,WATER,HIGH
The local bus service is insufficient for daily commuters. People in the locality are requesting a solution.,PUBLIC_TRANSPORT,HIGH
The public school requires improvements to its learning environment.,EDUCATION,LOW
Wheelchair users cannot enter the public facility because there is no ramp.,DISABILITY_ACCESS,MEDIUM
Our area is facing an interruption in the water connection. Please arrange the necessary civic action.,WATER,HIGH
The health centre lacks essential patient services. Please arrange the necessary civic action.,HEALTHCARE,HIGH
The public garden needs regular maintenance. Residents have requested prompt action.,PARKS,MEDIUM
Stray cattle are creating a problem in the local area.,ANIMAL_CONTROL,HIGH
The bus route needs more frequent services for commuters. The issue has been reported by local residents.,PUBLIC_TRANSPORT,HIGH
The scheduled city bus service is not operating regularly. Please arrange the necessary civic action.,PUBLIC_TRANSPORT,HIGH
The local power supply needs urgent attention. People in the locality are requesting a solution.,ELECTRICITY,MEDIUM
The local water connection needs urgent attention. Please arrange the necessary civic action.,WATER,MEDIUM
